Waktu,ketinggian,intensitas,kategori_banjir
20/02/2016,4.0,0.0,aman
21/02/2016,4.95,38.5,aman
22/02/2016,5.18,1.5,Siaga1
23/02/2016,6.04,34.5,Siaga1
24/02/2016,5.74,8.5,Siaga1
25/02/2016,5.61,3.5,Siaga1
26/02/2016,4.98,0.0,aman
27/02/2016,5.54,28.0,Siaga1
28/02/2016,5.79,14.5,Siaga1
29/02/2016,5.32,0.0,Siaga1
01/03/2016,5.05,1.0,Siaga1
02/03/2016,4.74,1.0,aman
03/03/2016,4.57,2.0,aman
04/03/2016,5.02,0.0,Siaga1
05/03/2016,5.42,42.0,Siaga1
06/03/2016,5.59,5.0,Siaga1
07/03/2016,6.15,17.5,Siaga2
08/03/2016,5.45,11.0,Siaga1
09/03/2016,5.62,4.5,Siaga1
10/03/2016,5.54,6.0,Siaga1
11/03/2016,5.62,12.0,Siaga1
12/03/2016,5.78,18.5,Siaga1
13/03/2016,6.39,53.0,Siaga2
14/03/2016,6.94,6.0,Siaga2
15/03/2016,6.07,0.0,Siaga2
16/03/2016,6.71,49.0,Siaga2
17/03/2016,6.08,0.0,Siaga2
18/03/2016,5.68,0.0,Siaga1
19/03/2016,5.73,7.5,Siaga1
20/03/2016,5.39,0.0,Siaga1
21/03/2016,5.16,0.0,Siaga1
22/03/2016,5.15,0.0,Siaga1
23/03/2016,5.59,19.5,Siaga1
24/03/2016,5.59,4.5,Siaga1
25/03/2016,5.39,1.0,Siaga1
26/03/2016,5.37,1.5,Siaga1
27/03/2016,5.57,0.5,Siaga1
28/03/2016,5.57,11.5,Siaga1
29/03/2016,6.13,16.0,Siaga2
30/03/2016,6.46,13.0,Siaga2
31/03/2016,5.95,0.0,Siaga1
01/04/2016,5.45,25.0,Siaga1
02/04/2016,5.75,19.5,Siaga1
03/04/2016,6,10.5,Siaga1
04/04/2016,5.82,37.5,Siaga1
05/04/2016,5.55,0.0,Siaga1
06/04/2016,6.29,41.0,Siaga2
07/04/2016,5.167,48.5,Siaga1
08/04/2016,5.54,3.0,Siaga1
09/04/2016,5.43,35.0,Siaga1
10/04/2016,5.82,15.0,Siaga1
11/04/2016,5.32,0.0,Siaga1
12/04/2016,5.81,30.5,Siaga1
13/04/2016,6.64,16.0,Siaga2
14/04/2016,6.75,52.0,Siaga2
15/04/2016,6.35,0.0,Siaga2
16/04/2016,5.79,5.0,Siaga1
17/04/2016,5.33,0.0,Siaga1
18/04/2016,5.4,14.5,Siaga1
19/04/2016,5.54,46.0,Siaga1
20/04/2016,6.12,8.5,Siaga2
21/04/2016,5.64,7.5,Siaga1
22/04/2016,4.94,0.0,aman
23/04/2016,4.69,0.0,aman
24/04/2016,4.22,0.0,aman
25/04/2016,4.82,7.0,aman
26/04/2016,4.86,0.0,aman
27/04/2016,5.45,10.0,Siaga1
28/04/2016,6.3,27.5,Siaga2
29/04/2016,5.89,1.0,Siaga1
30/04/2016,5.47,10.0,Siaga1
01/05/2016,5.01,1.5,aman
02/05/2016,4.79,0.0,aman
03/05/2016,5.36,7.5,Siaga1
04/05/2016,4.92,1.5,aman
05/05/2016,4.99,59.5,Siaga1
06/05/2016,4.83,40.5,aman
07/05/2016,4.97,0.0,aman
08/05/2016,5.11,16.0,Siaga1
09/05/2016,5.32,0.0,Siaga1
10/05/2016,6.18,8.5,Siaga2
11/05/2016,5.26,11.5,Siaga1
12/05/2016,5.17,0.0,Siaga1
13/05/2016,4.91,14.0,aman
14/05/2016,4.37,1.0,aman
15/05/2016,4.34,0.0,aman
16/05/2016,4.59,14.0,aman
17/05/2016,4.84,13.5,aman
18/05/2016,6.24,14.5,Siaga2
19/05/2016,5.04,0.0,Siaga1
20/05/2016,4.55,0.0,aman
21/05/2016,5.01,0.0,Siaga1
22/05/2016,5.59,3.0,Siaga1
23/05/2016,6.25,1.0,Siaga2
24/05/2016,5.95,0.5,Siaga1
25/05/2016,5.4,5.0,Siaga1
26/05/2016,4.93,4.5,aman
27/05/2016,4.54,0.0,aman
28/05/2016,4.37,0.0,aman
29/05/2016,4.46,0.0,aman
30/05/2016,4.75,6.5,aman
31/05/2016,4.7,18.0,aman
01/06/2016,4.3,,aman
02/06/2016,4.39,1.0,aman
03/06/2016,4.68,24.0,aman
04/06/2016,4.57,0.5,aman
05/06/2016,4.49,,aman
06/06/2016,4.27,3.5,aman
07/06/2016,4.6,5.0,aman
08/06/2016,6.72,61.5,Siaga2
09/06/2016,5.84,,Siaga1
10/06/2016,4.99,,aman
11/06/2016,4.58,,aman
12/06/2016,4.39,1.5,aman
13/06/2016,4.31,12.5,aman
14/06/2016,4.26,,aman
15/06/2016,4.34,23.5,aman
16/06/2016,4.19,,aman
17/06/2016,4.07,,aman
18/06/2016,4.53,1.0,aman
19/06/2016,4.57,3.0,aman
20/06/2016,4.36,1.0,aman
21/06/2016,4.56,2.4,aman
22/06/2016,4.55,3.5,aman
23/06/2016,4.25,2.5,aman
24/06/2016,4.04,6.5,aman
25/06/2016,3.87,,aman
26/06/2016,3.86,,aman
27/06/2016,3.79,,aman
